"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 22 14:00:08 GMT 2024","Tue Oct 22 14:00:08 GMT 2024","227","chromium","post_create_user.spec.ts","[POST] Create Users API Tests","","","Update an existing user",""
"passed","Tue Oct 22 14:00:09 GMT 2024","Tue Oct 22 14:00:09 GMT 2024","219","chromium","post_register_user.spec.ts","[POST] Register User API Tests","","","Register success - should return id and token",""
"passed","Tue Oct 22 14:00:09 GMT 2024","Tue Oct 22 14:00:09 GMT 2024","228","chromium","put_update_user.spec.ts","User API Tests","","","Update an existing user",""
"passed","Tue Oct 22 14:00:08 GMT 2024","Tue Oct 22 14:00:08 GMT 2024","240","chromium","post_create_user.spec.ts","[POST] Create Users API Tests","","","Create a new user",""
"passed","Tue Oct 22 14:00:07 GMT 2024","Tue Oct 22 14:00:07 GMT 2024","42","chromium","get_list_user.spec.ts","[GET] List Users API Tests","","","Single User",""
"passed","Tue Oct 22 14:00:08 GMT 2024","Tue Oct 22 14:00:09 GMT 2024","427","chromium","post_login_user.spec.ts","[POST] User Login","","","Login API",""
"passed","Tue Oct 22 14:00:07 GMT 2024","Tue Oct 22 14:00:08 GMT 2024","257","chromium","get_list_user.spec.ts","[GET] List Users API Tests","","","List users with id not exist",""
"passed","Tue Oct 22 14:00:07 GMT 2024","Tue Oct 22 14:00:07 GMT 2024","251","chromium","get_list_user.spec.ts","[GET] List Users API Tests","","","List users with page and per_page parameters",""
"passed","Tue Oct 22 14:00:09 GMT 2024","Tue Oct 22 14:00:09 GMT 2024","206","chromium","post_register_user.spec.ts","[POST] Register User API Tests","","","Register unsuccessful - should return missing password error",""
"passed","Tue Oct 22 14:00:07 GMT 2024","Tue Oct 22 14:00:07 GMT 2024","43","chromium","get_list_user.spec.ts","[GET] List Users API Tests","","","List users with page parameter",""
"passed","Tue Oct 22 14:00:06 GMT 2024","Tue Oct 22 14:00:07 GMT 2024","183","chromium","get_list_user.spec.ts","[GET] List Users API Tests","","","List User Without Parameter",""
"passed","Tue Oct 22 14:00:07 GMT 2024","Tue Oct 22 14:00:07 GMT 2024","227","chromium","get_list_user.spec.ts","[GET] List Users API Tests","","","List users with page not data exist",""
