"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","289","Update an existing user","chromium","Sun Jan 12 02:58:41 GMT 2025","passed","Sun Jan 12 02:58:41 GMT 2025","User API Tests","put_update_user.spec.ts","",""
"","598","Login API","chromium","Sun Jan 12 02:58:40 GMT 2025","passed","Sun Jan 12 02:58:40 GMT 2025","[POST] User Login","post_login_user.spec.ts","",""
"","28","List users with page parameter","chromium","Sun Jan 12 02:58:38 GMT 2025","passed","Sun Jan 12 02:58:38 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","295","Single User","chromium","Sun Jan 12 02:58:38 GMT 2025","passed","Sun Jan 12 02:58:39 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","286","Register unsuccessful - should return missing password error","chromium","Sun Jan 12 02:58:40 GMT 2025","passed","Sun Jan 12 02:58:41 GMT 2025","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","284","Update an existing user","chromium","Sun Jan 12 02:58:39 GMT 2025","passed","Sun Jan 12 02:58:40 GMT 2025","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","294","Register success - should return id and token","chromium","Sun Jan 12 02:58:40 GMT 2025","passed","Sun Jan 12 02:58:40 GMT 2025","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","290","List users with id not exist","chromium","Sun Jan 12 02:58:39 GMT 2025","passed","Sun Jan 12 02:58:39 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","300","Create a new user","chromium","Sun Jan 12 02:58:39 GMT 2025","passed","Sun Jan 12 02:58:39 GMT 2025","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","293","List users with page not data exist","chromium","Sun Jan 12 02:58:38 GMT 2025","passed","Sun Jan 12 02:58:38 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","308","List users with page and per_page parameters","chromium","Sun Jan 12 02:58:38 GMT 2025","passed","Sun Jan 12 02:58:38 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","155","List User Without Parameter","chromium","Sun Jan 12 02:58:37 GMT 2025","passed","Sun Jan 12 02:58:38 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
